Date,Speaker,timetype,time,contents,emotions,token
2020-08-05,이상해씨,AM,08:32:03,저는경영학과08학번조다운입니다취미는독서입니다,놀람,"['경영학과', '학번', '조', '취미', '독서']"
2020-10-27,이상해씨,PM,01:17:03,안녕하세요,집중,['안녕']
2020-09-09,이상해씨,AM,07:35:22,반갑습니다,기쁨,[]
2020-08-05,꼬부기,AM,09:04:16,저도여섯시이후가좋을거같아요,기쁨,['이후']
2020-08-06,꼬부기,AM,07:18:38,사실저도조금비싸다고생각했습니다,집중,"['사실', '생각']"
2020-10-27,익명,PM,01:20:25,저도서점가봐야겠네요,놀람,[]
2020-08-05,이상해씨,AM,08:33:37,저의인생책은아프니까청춘이다입니다^^~~,Detecting,"['저의', '인생', '책', '청춘']"
2020-08-06,지성,AM,07:20:35,그랬나요?,Detecting,[]
2020-10-27,익명,PM,01:19:21,저도내일도서관가보려구요^^,기쁨,"['내일', '도서', '관가']"
2020-08-06,이상해씨,AM,05:12:14,오늘의책추천할게요,집중,"['오늘', '책', '추천']"
2020-08-06,이상해씨,AM,07:17:01,다들필참해주세요,기쁨,['다']
2020-09-09,이상해씨,AM,07:35:52,오랜만이예여,놀람,['오랜만']
2020-08-05,이상해씨,AM,08:41:18,나도학창시절에기욤뮈소책읽었었는데,놀람,"['나도', '학창', '시절', '기', '소책']"
2020-10-27,지성,PM,01:21:59,서점가실때저도같이가요,집중,"['서점', '가실', '때', '가요']"
2020-08-06,이상해씨,AM,07:21:47,그럽시다,집중,[]
2020-10-27,지성,PM,01:22:13,저도서점분위기좋아해요,기쁨,"['서점', '분위기']"
2020-10-27,익명,AM,09:55:15,다들독서하고계신가요?,Detecting,['독서']
2020-08-06,꼬부기,AM,07:15:33,한번읽어볼게요,Detecting,[]
2020-10-27,익명,AM,09:55:00,에헴,Detecting,[]
2020-10-27,이상해씨,PM,01:19:54,책이엄청많아서,Detecting,['책']
2020-09-28,익명,AM,07:08:56,안녕하시요,Detecting,[]
2020-08-06,지성,AM,07:17:27,이만원이요?,화남,"['만원', '이요']"
2020-08-05,지성,AM,08:44:29,늦어서죄송합니다,집중,[]
2020-08-05,익명,AM,08:38:12,네선배님!!!!선배님은...08학번이십니까?...,Detecting,"['선배', '선배', '학번']"
2020-10-27,이상해씨,PM,01:19:36,서점에갈까도서관에갈까고민했는데,집중,"['서점', '도서관', '고민']"
2020-08-05,꼬부기,AM,08:26:45,잘부탁드립니다,기쁨,[]
2020-08-06,이상해씨,AM,05:15:45,주인공이기억의문을열어전생의여러기억을보게되어일어나는일들에대한소설입니다,놀람,"['주인', '공이', '기억', '문', '전생', '기억', '일', '소설']"
2020-08-05,이상해씨,AM,08:46:22,천천히의견조율해봐요,기쁨,"['의견', '조율']"
2020-10-27,이상해씨,PM,01:33:44,책책책책을읽읍시다,놀람,"['책', '책']"
2020-10-27,익명,PM,01:18:48,어떤책읽으셨나요?,집중,['책']
2020-08-06,꼬부기,AM,07:14:50,불참비도있나요?,Detecting,"['불참', '비도']"
2020-08-06,지성,AM,05:16:49,재밌겠네요,집중,[]
2020-10-27,이상해씨,PM,01:21:08,서점너무좋아용^^,Detecting,['서점']
2020-08-06,이상해씨,AM,07:16:31,불만있으세요?,경멸,['불만']
2020-10-27,이상해씨,PM,01:20:27,하하하,기쁨,[]
2020-08-05,이상해씨,AM,08:41:50,무슨책이제일재밌었나요?,기쁨,['책']
2020-08-05,이상해씨,AM,08:37:46,어어20학번....?,놀람,['학번']
2020-08-05,이상해씨,AM,08:21:57,안녕하십니까!!!!!!,집중,['안녕']
2020-08-05,이상해씨,AM,08:39:01,네..12살차이네요^^반가워요좋아하는책있나요?,Detecting,"['차이', '책']"
2020-08-06,꼬부기,AM,07:16:20,가격이..좀비싸네요..,놀람,['가격']
2020-08-05,꼬부기,AM,08:32:37,저는소설책을즐겨봅니다자기개발도서도종종봅니다,기쁨,"['소설책', '개발', '도서']"
2020-08-05,익명,AM,08:39:42,나이는숫자에불과합니다!!,놀람,"['나이', '숫자']"
2020-08-06,지성,AM,07:17:38,너무비쌉니다만....,화남,[]
2020-10-27,이상해씨,PM,01:19:14,넷플릭스에서본보건교사안은영이라는책을읽었어요,Detecting,"['보건', '교사', '안', '영이', '책']"
2020-10-27,이상해씨,PM,01:20:19,저는책이좋아요,집중,['책']
2020-08-05,꼬부기,AM,08:31:58,정보통신16학번오하영입니다,Detecting,"['정보', '통신', '학번', '오', '하영']"
2020-09-09,꼬부기,AM,07:36:05,오랜만이네요다들!!,기쁨,"['오랜만', '다']"
2020-10-27,이상해씨,PM,01:29:51,가을은독서의계절,집중,"['가을', '독서', '계절']"
2020-08-05,익명,AM,08:40:34,저는기욤뮈소소설책좋아합니다^^,Detecting,"['기', '소', '소설책']"
2020-08-05,이상해씨,AM,09:04:36,그럼아디오스,기쁨,['디오']
2020-10-27,익명,PM,01:20:41,서점안간지백만년..,집중,"['서점', '안', '간지']"
2020-10-27,지성,PM,01:23:18,저는추리소설좋아해요,놀람,"['추리', '소설']"
2020-08-06,꼬부기,AM,07:21:27,밥은집에서먹고오세요.....,경멸,"['밥', '집']"
2020-08-05,"꼬부기:다음시간에도즐거운대화해봐요^^<Detecting>/Timestamp(seconds=1596618222,nanoseconds=",AM,09:03:42,다음시간에도즐거운대화해봐요^^,Detecting,"['다음', '시간', '대화']"
2020-08-06,이상해씨,AM,05:11:59,반갑습니다,기쁨,[]
2020-08-06,이상해씨,AM,07:18:27,그럼참가하세요그럼만원,Detecting,"['참가', '하세', '만원']"
2020-10-27,"이상해씨:저는어제책읽었어요<집중>/Timestamp(seconds=1603804650,nanoseconds=56700000",PM,01:17:30,저는어제책읽었어요,집중,"['어제', '책']"
2020-08-05,익명,AM,08:36:11,안녕하십니까!!선배님들,Detecting,"['안녕', '선배']"
2020-08-05,이상해씨,AM,08:29:13,독서동아리회장조다운입니다,Detecting,"['독서', '동아리', '회장', '조']"
2020-10-27,이상해씨,PM,01:19:44,서점에갔습니다,Detecting,['서점']
2020-10-27,이상해씨,PM,01:20:06,행복했습니다ㅎㅎ,기쁨,['행복']
2020-08-06,이상해씨,AM,05:11:44,여러분좋은아침,집중,['아침']
2020-08-05,익명,AM,08:43:41,저는주말빼고다좋습니다,기쁨,['주말']
2020-08-06,꼬부기,AM,07:15:27,오늘베르나르베르베르의기억빌렸습니다!,Detecting,"['오늘', '베', '르나르', '베', '르', '베', '르', '기억']"
2020-08-06,이상해씨,AM,05:13:41,베르나르베르베르의기억입니다,집중,"['베', '르나르', '베', '르', '베', '르', '기억']"
2020-08-05,이상해씨,AM,08:31:14,자기소개한번씩부탁드립니다,Detecting,"['자기소개', '한번']"
2020-08-06,꼬부기,AM,07:19:12,참가비불참비다시조율해보죠?,집중,"['참가비', '불참', '비', '조율']"
2020-10-27,익명,PM,01:18:32,오호,놀람,['오호']
